cen_x,cen_y,xmin,ymin,xmax,ymax
1196,394,1164.581,364.9377,1227.4764,423.9936
941,504,866.3444,402.31555,1015.82104,606.13086
909,358,886.22107,339.84753,931.8693,377.49927
940,503,866.1296,401.9674,1015.7234,605.6884
916,296,899.0475,282.10468,933.2246,311.46576
1413,356,1387.6702,339.96564,1439.0796,373.2806
1322,324,1302.4255,309.2983,1341.7968,339.82053
1151,358,1131.2743,339.96964,1171.038,376.12314
1879,735,1839.5862,680.3342,1919.2751,791.22736
1764,332,1723.9677,302.87506,1805.4708,362.2566
1293,309,1278.9888,294.83307,1308.9539,324.0793
1448,233,1427.223,220.624,1470.552,247.3456
779,301,761.1179,290.336,798.44507,313.03305
1584,286,1555.684,265.9487,1613.5347,306.8072
1399,892,1297.8081,814.72906,1501.693,971.08417
947,286,930.043,275.44254,965.02045,297.89597
819,287,803.0673,274.9995,835.7505,299.5956
920,360,885.32275,339.9,955.3258,380.8275
1196,394,1164.666,364.36258,1227.4327,423.97525
1633,674,1555.0964,613.43207,1711.6342,735.04535
1764,332,1723.8961,302.76694,1805.684,362.64374
872,177,852.0272,166.23393,893.9489,188.63148
737,179,723.0206,168.74512,752.0491,189.7104
1293,262,1280.1304,250.0,1307.0082,274.0051
1762,445,1691.4235,379.6796,1833.7379,511.80038
1767,661,1684.3345,596.25146,1851.5929,727.5781
1827,819,1735.3102,726.951,1919.9873,912.6323
1418,361,1390.683,343.82227,1446.1201,379.07394
1106,856,1019.1377,770.7105,1194.1144,942.22943
1170,323,1151.571,308.81064,1188.6377,337.93256
911,386,869.52277,325.67624,953.10297,447.86566
1287,312,1272.7335,301.8505,1302.4297,322.6692
973,312,956.89484,300.77747,990.2993,324.96472
931,287,915.7447,273.43805,947.0074,301.70654
1339,337,1320.334,323.30234,1358.6995,352.14127
1106,856,1019.3308,770.81726,1194.0562,942.1296
911,386,869.4985,326.0752,953.6612,447.35867
1165,293,1151.1895,283.8058,1180.6575,303.77307
1260,285,1239.7966,270.30447,1282.1923,301.61777
875,177,855.01025,166.28667,896.5662,188.84158
931,287,915.7447,273.43805,947.0074,301.70654
1279,262,1249.7393,235.12483,1309.031,290.4189
1070,261,1058.9253,250.06966,1081.1421,273.19907
1260,285,1239.7966,270.30447,1282.1923,301.61777
1279,251,1252.7612,230.75325,1306.9186,273.02707
812,181,796.80695,170.63652,828.5628,192.19179
973,312,956.89484,300.77747,990.2993,324.96472
1276,282,1245.4858,266.1141,1308.0337,298.45523
1419,361,1391.1984,343.94376,1447.3998,378.92007
560,473,519.63153,444.13013,601.0248,503.14758
917,494,880.8984,463.88754,953.115,525.36346
926,347,906.7234,330.59924,945.2871,364.22363
369,296,333.70447,269.49164,405.36963,323.52014
710,323,689.57855,309.53818,732.092,338.41364
1115,335,1098.1207,318.7736,1132.8695,352.74948
1105,548,1056.6753,507.6478,1153.9937,588.3627
898,318,880.3233,302.4554,917.06,335.1511
971,326,956.0408,310.25723,987.88367,343.20703
904,269,887.88495,258.3033,921.9487,280.07245
1097,309,1082.8043,295.3564,1112.2639,322.66473
1176,325,1152.0405,302.06992,1200.1049,348.81625
1176,326,1151.9465,305.03217,1200.2587,348.9375
1105,548,1056.3885,507.684,1154.0553,588.5663
988,294,970.17017,282.20956,1006.3527,307.74667
1219,260,1210.425,254.27823,1228.7681,267.05396
1121,283,1105.3721,270.51962,1138.6237,296.142
975,326,955.1159,307.74524,996.36584,345.03574
1211,1023,1094.216,967.88477,1328.5955,1078.3761
904,269,887.88495,258.3033,921.9487,280.07245
1139,283,1121.2533,271.83322,1157.8864,296.02658
1070,263,1060.3976,252.11191,1080.1873,274.77774
244,893,156.49759,818.07275,331.63812,969.6696
457,620,399.06503,576.206,515.3318,664.9003
1137,874,1040.8785,787.35187,1234.9424,961.41205
1827,503,1772.0525,470.0937,1883.5724,536.373
887,383,863.1905,363.5663,911.09827,403.92172
971,338,952.9003,323.62674,990.2579,353.42783
1407,359,1383.2114,342.9523,1432.7262,376.1588
1639,441,1600.3632,415.87155,1678.465,467.5302
1112,566,1092.7782,534.9217,1131.3271,597.678
1339,336,1318.8724,322.7519,1360.7545,349.6536
1163,313,1146.5673,295.06583,1181.352,331.25677
1123,301,1110.0496,289.9336,1136.4354,312.49185
894,342,875.4492,324.40015,912.7099,359.78174
831,280,815.7982,268.6752,848.16174,292.6143
898,261,880.411,245.36911,915.8248,278.24472
915,301,891.8627,278.163,938.79755,325.72644
916,299,891.69525,275.9944,941.6545,323.5921
1290,280,1277.4615,269.0617,1303.1042,291.78943
999,291,985.077,281.1261,1013.36346,301.96652
1163,313,1146.5673,295.06583,1181.352,331.25677
979,301,962.9286,290.23105,995.97345,313.342
1165,297,1146.9258,279.1502,1183.4077,316.40753
888,350,864.7778,327.62466,912.2533,374.1316
987,303,967.0237,290.75934,1007.26544,315.272
1067,263,1054.4924,252.64005,1079.9266,273.41522
1165,297,1146.9258,279.1502,1183.4077,316.40753
832,280,815.1143,268.17606,849.23694,292.57745
1116,533,1071.2596,498.73187,1161.4418,567.6286
491,572,440.01096,526.7762,542.9845,617.7041
1073,653,1014.9357,605.2452,1131.6534,701.4865
1836,682,1754.7583,627.62494,1918.8925,737.0019
624,401,593.1877,379.21268,656.63257,424.3856
970,351,950.3566,334.5777,990.7149,368.31342
954,526,914.6215,490.9552,995.3593,562.92444
1116,335,1101.3724,319.56616,1131.0585,350.61285
889,333,872.64026,319.47238,906.11975,346.908
1162,324,1145.1415,311.55472,1178.9215,337.4672
1123,286,1106.8807,274.19458,1139.7332,298.2477
973,311,957.2389,297.7425,990.17017,324.98697
1016,283,1002.6788,272.14297,1029.684,294.71133
1274,304,1257.2936,291.78577,1292.6426,317.5166
917,307,905.36475,296.00638,930.21173,319.5501
949,288,938.46533,277.23532,961.3298,300.15106
900,269,884.956,258.16434,915.72156,280.25198
1836,681,1755.274,627.1913,1918.4197,736.58966
930,289,915.7172,280.48096,945.3718,298.1642
